word,translation,example,level
beeinflussen,влиять,Die Medien können die öffentliche Meinung stark beeinflussen.,B1
der Abend,вечер,Wir haben den Abend mit einem gemütlichen Abendessen ausklingen lassen.,A1
der Tee,чай,Nach einem langen Tag trinke ich gerne eine Tasse heißen Tee.,A1
der Hausmeister,управляющий зданием,Der Hausmeister kümmert sich um die Reparaturen im Gebäude.,A2
der Pensionist,пенсионер,Der Pensionist genießt seinen Ruhestand im Garten.,B1
zu,"слишком, к, в (предлог)","Das Kleid ist mir zu eng, ich brauche eine größere Größe.",A1
der Geldautomat,банкомат,"Ich muss schnell Geld abheben, wo ist der nächste Geldautomat?",A2
die Kassette,кассета,Diese Musik ist noch auf einer alten Kassette.,B1
nächste,следующий,Wir treffen uns nächste Woche zur Besprechung.,A1
der Motorroller,мотороллер,"Mit seinem neuen Motorroller fährt er jetzt zur Arbeit, um Staus zu vermeiden.",A2
richten,"направлять, судить, исправлять",Der Richter wird heute über den Fall richten.,B1
realisieren,"осознавать, осуществлять","Erst jetzt realisiere ich, wie wichtig diese Entscheidung für meine Zukunft ist.",B2
die Anzeige,объявление,In der Zeitung habe ich eine interessante Anzeige für eine Wohnung gefunden.,B1
rechnen,"считать, вычислять","Kannst du mir helfen, diese mathematische Aufgabe zu rechnen?",A2
die Rose,роза,Sie schenkte ihm eine rote Rose als Zeichen ihrer Liebe.,A2
warum,почему,Warum bist du heute so spät gekommen?,A1
vergessen,забывать,"Bitte vergiss nicht, die Milch zu kaufen, wenn du zum Supermarkt gehst.",A2
die Droge,наркотик,Der Missbrauch von Drogen kann schwerwiegende Folgen haben.,B1
die Hauptstadt,столица,Berlin ist die Hauptstadt von Deutschland.,A1
minimal,минимальный,Wir müssen die Kosten auf ein minimales Niveau senken.,B2
der Mensch,человек,Jeder Mensch hat das Recht auf freie Meinungsäußerung.,A1
die Kälte,холод,"Die plötzliche Kälte überraschte alle und zwang sie, sich warm anzuziehen.",A2
unter,под,Das Buch liegt unter dem Tisch.,A1
zuverlässig,надежный,"Er ist ein sehr zuverlässiger Mitarbeiter, auf den man sich immer verlassen kann.",B1
die Hitze,жара,Die extreme Hitze macht uns allen zu schaffen.,A2
bereit,готовый,"Sind Sie bereit, die Prüfung abzulegen?",A2
das Fach,"предмет (в школе), отделение, полка",In der Schule war Mathematik mein Lieblingsfach.,A2
die Entwicklung,развитие,Die wirtschaftliche Entwicklung des Landes hat sich in den letzten Jahren positiv gezeigt.,B1
parkieren,парковаться,"Es ist verboten, hier zu parkieren.",B1
abgeben,"сдать, отдать",Bitte geben Sie Ihre Hausaufgaben bis Freitag bei mir ab.,A2
das Geschirr,посуда,Nach dem Essen muss das schmutzige Geschirr gespült werden.,A1
der Artikel,"статья, артикль",Ich habe einen interessanten Artikel über künstliche Intelligenz gelesen.,A2
jedoch,"однако, тем не менее","Das Wetter war schlecht, jedoch entschieden wir uns für einen Ausflug.",B2
gültig,действительный,Ihr Reisepass ist noch zwei Jahre gültig.,B1
der Alarm,"сигнализация, тревога","Der Feueralarm wurde ausgelöst, aber es gab keine Gefahr.",A2
der Bürger,гражданин,"Jeder Bürger hat das Recht, seine Meinung frei zu äußern.",A2
das Ereignis,событие,Das Konzert war ein unvergessliches Ereignis für alle Anwesenden.,B1
die Seife,мыло,"Bitte gib mir die Seife, ich muss meine Hände waschen.",A1
gewohnt,привыкший,"Er ist es gewohnt, früh aufzustehen.",A2
wandern,ходить в поход,"Wir planen, nächstes Jahr in den Alpen zu wandern.",A2
das Gesetz,закон,Jeder Bürger muss sich an das Gesetz halten.,B1
das Theater,театр,Wir haben Karten für eine Vorstellung im Stadttheater nächste Woche.,A1
der Kühlschrank,холодильник,Bitte stell die Milch in den Kühlschrank.,A1
gewöhnlich,обычно,Gewöhnlich stehe ich um sieben Uhr auf.,B1
möglich,возможный,"Es ist möglich, dass es morgen regnet.",A2
der Text,текст,Bitte lesen Sie den folgenden Text aufmerksam durch und beantworten Sie die Fragen.,A1
öko,эко-,"Im Supermarkt gibt es immer mehr öko-Produkte, die bei den Verbrauchern beliebt sind.",B2
fehlen,"отсутствовать, не хватать",Ein wichtiger Teil des Berichts fehlt noch.,A2
der Bahnsteig,перрон,Der Zug nach Berlin fährt von Bahnsteig 5 ab.,A1
die Marmelade,"джем, варенье",Zum Frühstück esse ich gerne Brot mit Marmelade.,A1
der Berg,гора,"Wir planen, im Sommer die Alpen zu besuchen und einen hohen Berg zu besteigen.",A1
frieren,"мёрзнуть, замерзать",Bei diesem Wetter friere ich leicht.,A2
das Bargeld,наличные деньги,"Für den kleinen Einkauf im Supermarkt benötige ich kein Bargeld, da ich mit meiner Karte bezahlen kann.",A2
beruhigen,успокаивать,"Versuche, das weinende Kind zu beruhigen.",A2
gehören,принадлежать,"Dieses Buch gehört meiner Schwester, sie hat es mir ausgeliehen.",A2
andererseits,с другой стороны,"Das Wetter ist heute schön, andererseits ist es auch sehr heiß.",B1
die Cola,кола,"Zum Abendessen trinke ich gerne ein Glas Cola, aber nicht zu oft.",A1
die Erfahrung,опыт,Diese Reise hat mir wertvolle Erfahrungen für mein zukünftiges Leben gebracht.,B1
bekannt,известный,Der Schauspieler ist in ganz Deutschland bekannt.,A2
die Ansicht,"точка зрения, вид",Aus meiner Ansicht nach ist das die beste Lösung für das Problem.,B2
das Haus,дом,Sie haben ein schönes Haus am Stadtrand gekauft.,A1
das Projekt,проект,Das neue Bauprojekt wird die Infrastruktur der Stadt erheblich verbessern.,A2
zuhören,слушать (внимательно),"Es ist wichtig, seinen Freunden aufmerksam zuzuhören, wenn sie Probleme haben.",A2
der Ski,лыжа,"Im Winter macht es Spaß, mit den Skiern die Berge hinunterzufahren.",A2
schmecken,"иметь вкус, нравиться (о еде)",Dieses Gericht schmeckt sehr gut.,A1
das Interesse,интерес,Sein großes Interesse an der Geschichte seines Heimatlandes motivierte ihn zu weiteren Studien.,A2
das Mobiltelefon,мобильный телефон,Ich habe mein Mobiltelefon zu Hause vergessen und kann niemanden erreichen.,A2
die Margarine,маргарин,Manche Leute bevorzugen Margarine statt Butter.,A1
blöd,глупо,"Es war eine blöde Idee, ohne Karte in den Wald zu gehen.",A2
die Aussicht,"вид, перспектива",Von diesem Berg hat man eine wunderschöne Aussicht über das Tal.,A2
maximal,максимальный,Die maximale Geschwindigkeit auf dieser Straße beträgt 50 km/h.,B1
brechen,ломать(ся),"Wenn du den Ast zu stark biegst, wird er brechen.",B1
die Tomate,помидор,"Für den Salat brauchen wir frische Tomaten, Gurken und Zwiebeln.",A1
der Flur,коридор,Im Flur hängt ein großes Bild.,A2
der Magen,желудок,Nach dem Essen hatte er ein leichtes Völlegefühl im Magen.,A2
nächst,следующий,"Das ist die nächstbeste Lösung, die wir finden konnten.",A2
besuchen,посещать,"Wir planen, unsere Großeltern am Wochenende zu besuchen.",A1
das Dach,крыша,Das Dach des Hauses muss repariert werden.,A2
fahren,"ехать, вести (машину)",Wir werden mit dem Auto nach Italien fahren.,A1
bunt,пёстрый,Die Kinder malten ein buntes Bild.,A2
die Birne,груша,Zum Nachtisch gab es heute eine süße Birne.,A1
das Bundesland,федеральная земля,Bayern ist das größte Bundesland in Deutschland.,A2
dahin,туда,"Wir fahren morgen dahin, wo wir letztes Jahr waren.",A2
der Supermarkt,супермаркет,"Wir müssen zum Supermarkt gehen, um Lebensmittel einzukaufen.",A1
besorgen,"доставать, покупать",Kannst du mir bitte die Zutaten für den Kuchen besorgen?,A2
die Liebe,любовь,Die Liebe zwischen den beiden war offensichtlich und stark.,A1
die Planung,планирование,Die sorgfältige Planung des Projekts war entscheidend für seinen Erfolg.,B1
die Reparatur,ремонт,Die Reparatur des defekten Autos wird wahrscheinlich mehrere hundert Euro kosten.,A2
gießen,лить,"Bitte gieß die Blumen, sie sehen schon ganz trocken aus.",A2
der Mieter,"арендатор, квартиросъемщик",Der Mieter muss die Miete pünktlich bezahlen.,A2
zufrieden,"довольный, удовлетворенный","Nachdem er die Prüfung bestanden hatte, war er sehr zufrieden mit sich selbst.",A2
donnern,греметь,"Der Donner grollte laut über den Bergen, als der Sturm aufzog.",B1
die Nachspeise,десерт,Zum Abschluss des Essens gab es eine köstliche Nachspeise aus frischen Früchten.,A1
gratulieren,поздравлять,Ich möchte dir herzlich zu deinem Geburtstag gratulieren!,A2
die Aktivität,"активность, деятельность",Regelmäßige körperliche Aktivität ist gut für die Gesundheit.,A2
klug,умный,"Das war eine kluge Entscheidung, die du getroffen hast.",A2
kompliziert,сложный,"Die Aufgabe war komplizierter, als ich dachte.",B1
an,на,Wir treffen uns an der Ecke um drei Uhr.,A1
so,так,Es ist so schön hier!,A1
kaputt,"сломанный, неисправный",Mein Handy ist leider kaputt gegangen.,A2
vollständig,полностью,Die Arbeit ist noch nicht vollständig abgeschlossen.,B2
das Gebäck,выпечка,Zum Frühstück gibt es frisches Gebäck vom Bäcker.,A2
die Decke,"потолок, одеяло",Die Decke des Raumes ist sehr hoch.,A1
der Kanal,канал,Der Schiffskanal verbindet die beiden Städte und erleichtert den Warentransport erheblich.,B1
der Buntstift,цветной карандаш,Das Kind malte ein Bild mit vielen bunten Stiften.,A1
unten,внизу,Bitte stellen Sie die Koffer unten im Flur ab.,A1
reservieren,бронировать,Wir müssen einen Tisch im Restaurant für morgen Abend reservieren.,A2
die Mitte,"середина, центр",Die Mitte des Raumes war mit einem großen Teppich bedeckt.,A1
komisch,смешной,"Er erzählte eine komische Geschichte, über die wir alle lachen mussten.",A2
der Schnee,снег,"Wenn es schneit, ist die Landschaft oft sehr malerisch.",A1
folgen,следовать,Bitte folgen Sie den Anweisungen des Lehrers.,A2
die Aushilfe,"помощник, временный работник",Während der Ferien hat sie als Aushilfe in einem Café gearbeitet.,A2
ausgeben,"тратить (деньги), выдавать",Er gibt sein ganzes Geld für teure Kleidung aus.,B1
der Bankomat,банкомат,Ich muss am Bankomat Geld abheben.,A2
wenig,мало,Ich habe nur noch wenig Geld übrig.,A1
behindert,инвалид,Der behinderte Mann benutzt einen Rollstuhl.,B1
der Fleischhauer,мясник,Der Fleischhauer hat heute frisches Fleisch im Angebot.,B2
anschnallen,пристегивать ремень,"Bitte schnall dich im Auto immer an, das ist wichtig für deine Sicherheit.",A2
die Ruhe,тишина,"Ich brauche etwas Ruhe, um mich zu konzentrieren.",A2
der Vorschlag,предложение,Ich habe einen interessanten Vorschlag für unser nächstes Projekt.,A2
der Fußgänger,пешеход,Fußgänger müssen die Straße an den dafür vorgesehenen Übergängen überqueren.,A2
hässlich,уродливый,Der alte Anzug sah wirklich hässlich aus.,A2
gründen,основывать,Er möchte im nächsten Jahr eine eigene Firma gründen.,B1
der Anruf,звонок,Ich habe gerade einen wichtigen Anruf von meinem Chef erhalten.,A1
nehmen,брать,Könnten Sie bitte das Buch nehmen und es mir geben?,A2
das Poster,плакат,Das Poster mit dem Lieblingsmusiker hängt schon seit Jahren an meiner Wand.,A1
brauchen,нуждаться,Wir brauchen dringend neue Schuhe für den Winter.,A1
schwimmen,плавать,Im Sommer schwimmen wir oft im See.,A1
früher,раньше,Früher habe ich viel mehr Sport getrieben.,A2
stressig,стрессовый,"Der Job ist sehr stressig, aber auch sehr erfüllend.",B1
fordern,требовать,Die Demonstranten fordern bessere Arbeitsbedingungen.,B1
das Geheimnis,"секрет, тайна","Jeder Mensch hat ein kleines Geheimnis, das er für sich behält.",B1
schlimm,"плохой, дурной, серьезный",Das ist eine schlimme Nachricht.,A2
allein,"один, в одиночку",Sie reiste allein durch Europa und sammelte viele Erfahrungen.,A2
müssen,"быть должным, вынужден","Wir müssen bald aufbrechen, sonst verpassen wir den Zug.",A1
ganz,весь,Ich habe den ganzen Tag an dich gedacht.,A1
offenbar,по-видимому,"Offenbar hat er die Prüfung nicht bestanden, da er sehr enttäuscht aussieht.",B2
die Pflicht,долг,"Es ist unsere moralische Pflicht, den Schwächeren zu helfen.",B1
fällig,"подлежащий оплате, наступающий срок",Die Rechnung ist nächste Woche fällig.,B1
frühstücken,завтракать,Wir frühstücken jeden Morgen um sieben Uhr.,A1
ausschließlich,"исключительно, только",Diese Sonderangebote gelten ausschließlich für Neukunden.,B2
die Klimaanlage,кондиционер,Im Sommer ist die Klimaanlage im Büro sehr angenehm.,A2
liefern,"доставлять, поставлять",Die Firma wird die Ware nächste Woche liefern.,B1
das Metall,металл,Das Fahrrad ist aus leichtem Metall gefertigt.,A2
ersetzen,заменять,Wir müssen die alten Glühbirnen durch energieeffizientere ersetzen.,B1
der Verein,"клуб, ассоциация",Er ist seit vielen Jahren Mitglied in diesem Sportverein.,A2
nun,ну,"Nun, das ist eine interessante Idee.",A2
das Ehepaar,супружеская пара,Das glückliche Ehepaar feierte seine Silberhochzeit.,A2
werden,становиться,Er wird bald ein erfahrener Arzt sein.,A2
das Hemd,рубашка,Er trug ein frisch gebügeltes Hemd zur Arbeit.,A1
die Erlaubnis,разрешение,Ohne die Erlaubnis der Eltern darf das Kind nicht allein weggehen.,A2
dumm,глупый,"Es wäre dumm, diese Gelegenheit einfach verstreichen zu lassen.",A2
desto,тем,"Je mehr du übst, desto besser wirst du.",B1
der Dieb,вор,Die Polizei hat den Dieb gefasst.,A2
